sort_order,page,story_id,brand,top_category,subcategory,sku,product_name,description,colors,map_price,net_price,net_price_if_buy_6_or_more,net_price_if_buy_12_or_more,source_image_name,source_image_path
,16,u190c6,Aria Pro II,Fretted Instruments,Electric Guitars,MAC DLX,MAC-DLX,• Body: Ash (Thermo Treatment) • Neck: Maple (Thermo Treatment) 3P • Fingerboard: Rosewood • Frets: 24F Scale: 648mm (25-1/2”),"Stained Black, Stained Brown",$499.00,$329.00,,,aria-pro-ii_mac-dlx_stained-black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_mac-dlx_stained-black.jpg
,16,u190dd,Aria Pro II,Fretted Instruments,Electric Guitars,DM206,DM-206,• Body: Basswood • Neck: Maple • Fingerboard: Rosewood • Number of Frets: 21 • Scale Length: 628 mm (24-3/4″) • Pickups: AMH-1 (Mini Humbucker) • Tailpiece: Wilkinson • Hardware: Chrome,"Vintage White, 3 Tone Sunburst",$499.00,$319.00,,,aria-pro-ii_dm206_vintage-white.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_dm206_vintage-white.jpeg
,17,u191e5,Aria Pro II,Fretted Instruments,Electric Guitars,PE-350STD,PE-350STD,"• Body: Basswood, Carved Top • Neck: Okoume, Heel-Less Set Neck • Fingerboard: Rosewood • Number of Frets: 22","Cherry Sunburst, Brown Sunburst, Black",$419.00,$275.00,,,aria-pro-ii_pe-350std_cherry-sunburst.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350std_cherry-sunburst.jpg
,17,u19214,Aria Pro II,Fretted Instruments,Electric Guitars,PE-350CST,PE-350CST,"• Body: Basswood, Carved Top • Neck: Okoume, Heel-less Set Neck • Fingerboard: Rosewood • Frets: 22F","Aged Black, Aged White",$489.00,$329.00,,,aria-pro-ii_pe-350cst_aged-black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350cst_aged-black.jpg
,18,u1936f,Aria Pro II,Fretted Instruments,Electric Guitars,PE-350PG,PE-350PG,"• Body: Okoume, Carved Top • Neck: Okoume, Heel-Less Set Neck • Fingerboard: Rosewood • Frets: 22F",Aged Lemon Drop,$489.00,$329.00,,,aria-pro-ii_pe-350pg_aged-lemon-drop.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pg_aged-lemon-drop.jpg
,18,u19358,Aria Pro II,Fretted Instruments,Electric Guitars,PE-350PF,PE-350PF,"• Body: Okoume, Carved Top • Neck: Okoume, Heel-less Set Neck • Fingerboard: Rosewood • Frets: 22F",Aged Black,$489.00,$329.00,,,aria-pro-ii_pe-350pf_aged-black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-350pf_aged-black.jpg
,17,u1922b,Aria Pro II,Fretted Instruments,Electric Guitars,PE-590STD,PE-590STD,"• Body: Okoume, Carved Top • Neck: Mahogany, Set-Neck • Fingerboard: Rosewood • Frets: 22","Stained Black, Stained Brown",$499.00,$335.00,,,aria-pro-ii_pe-590std_aged-cherry-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590std_aged-cherry-sunburst.png
,17,u192e1,Aria Pro II,Fretted Instruments,Electric Guitars,PE-590AF,PE-590AF,"• Body: Okoume, Carved Top • Neck: Okoume, Heel-Less Set Neck • Fingerboard: Rosewood • Frets: 22F",Aged Cherry Sunburst,$499.00,$349.00,,,aria-pro-ii_pe-590af_aged-cherry-sunburst.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-590af_aged-cherry-sunburst.jpg
,17,u192c1,Aria Pro II,Fretted Instruments,Electric Guitars,PE-f80,PE-F80,"• Body: Okoume, Carved Top • Neck: Mahogany, Set-Neck • Fingerboard: Rosewood • Frets: 22",Black Top,$569.00,$379.95,,,aria-pro-ii_pe-f80_black-top.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_pe-f80_black-top.png
,19,u1945c,Aria Pro II,Fretted Instruments,Electric Guitars,714-STD-FULLERTON,714-STD Fullerton,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Techwood • Number of Frets: 22","3 Tone Sunburst, Black, Vintage White",$209.00,$139.00,,,aria-pro-ii_714-std-fullerton_3-tone-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-std-fullerton_3-tone-sunburst.png
,18,u1932a,Aria Pro II,Fretted Instruments,Electric Guitars,714-DG-Fullerton,714-DG Fullerton,"• Body: Poplar • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 22",Black,$409.00,$269.00,,,aria-pro-ii_714-dg-fullerton_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-dg-fullerton_black.png
,18,u19407,Aria Pro II,Fretted Instruments,Electric Guitars,714-JH-Fullerton,714-JH Fullerton,"• Body: Poplar, Flamed Maple Top • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Roasted Maple",Marble White,$409.00,$269.00,,,aria-pro-ii_714-jh-fullerton_marble-white.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-jh-fullerton_marble-white.jpg
,19,u194cf,Aria Pro II,Fretted Instruments,Electric Guitars,714-MK2,714-MK2 Fullerton,"• Body: Poplar, Flamed Maple Top • Neck: Roasted Maple, Bolt-on • Fingerboard: Roasted Maple • Number of Frets: 22","Turquoise Blue, Ruby Red, Black Diamond",$429.00,$274.00,,,aria-pro-ii_714-mk2_turquoise-blue.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_714-mk2_turquoise-blue.jpg
,18,u19420,Aria Pro II,Fretted Instruments,Electric Guitars,615-WJ-BK,615-WJ Nashville,"• Body: Poplar • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 22",Black,$409.00,$269.00,,,aria-pro-ii_615-wj-bk_black.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-wj-bk_black.jpeg
,18,u19313,Aria Pro II,Fretted Instruments,Electric Guitars,615-GH,615-GH Nashville,"• Body: Poplar, Rosewood Top • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 22",Brown,$489.00,$299.00,,,aria-pro-ii_615-gh_brown.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-gh_brown.png
,19,u194e6,Aria Pro II,Fretted Instruments,Electric Guitars,615-MK2,615-MK2 Nashville,"• Body: Poplar, Flamed Maple Top • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Roasted Maple • Number of Frets: 22","Ruby Red, Turquoise Blue, Marble White",$439.00,$289.00,,,aria-pro-ii_615-mk2_turquoise-blue.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_615-mk2_turquoise-blue.png
,19,u19473,Aria Pro II,Fretted Instruments,Electric Guitars,718MKII-OPWH,718-MK2 Brooklyn,"• Body: Mahogany • Neck: Roasted Maple, Set-Neck • Fingerboard: Rosewood • Number of Frets: 22",Black & White,$499.00,$349.00,,,aria-pro-ii_718mkii-opwh_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_718mkii-opwh_black.png
,19,u1948a,Aria Pro II,Fretted Instruments,Electric Guitars,212-MK2,212-MK2-Bowery,"• Body: Mahogany • Neck: Mahogany, Heel-Less Joint • Fingerboard: Rosewood • Number of Frets: 22",Black & Phantom Blue,$699.00,$459.00,,,aria-pro-ii_212-mk2_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_212-mk2_black.png
,19,u194a1,Aria Pro II,Fretted Instruments,Electric Guitars,J-B’ TONE,J-B’TONE Baritone,"• Body: Poplar • Neck: Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 21",Black & Sunburst,$419.00,$259.00,,,aria-pro-ii_j-b-tone_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_j-b-tone_black.png
,20,u19664,Aria Pro II,Fretted Instruments,Bass Guitars,stb-PB,STB-PB,"• Body: Basswood • Neck: Maple, Bolt-on • Scale Length: 864mm (34 inches) • Number of Frets: 21","3 Tone Sunburst, Black, and White",$299.00,$189.00,,,aria-pro-ii_stb-pb_3-tone-sunburst.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pb_3-tone-sunburst.jpg
,20,u196d8,Aria Pro II,Fretted Instruments,Bass Guitars,STB-PBB-WH,STB-PB/B,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Rosewood • Number of Frets: 21","White w/Rosewood, White w/Maple",$299.00,$189.00,,,aria-pro-ii_stb-pbb-wh_white-w-rosewood.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-pbb-wh_white-w-rosewood.jpeg
,20,u196ef,Aria Pro II,Fretted Instruments,Bass Guitars,STB-JB,STB-JB,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Rosewood • Number of Frets: 21","Black, 3 Tone Sunburst, White",$299.00,$189.00,,,aria-pro-ii_stb-jb_black.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb_black.jpeg
,20,u196a9,Aria Pro II,Fretted Instruments,Bass Guitars,stb-jb/tt,STB-JB/TT,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Stained Walnut • Number of Frets: 21",Black & Sunburst,$299.00,$189.00,,,aria-pro-ii_stb-jb-tt_black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-tt_black.jpg
,20,u19846,Aria Pro II,Fretted Instruments,Bass Guitars,stb-jb/b,STB-JB/B,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Stained Walnut • Number of Frets: 21",White,$299.00,$189.00,,,aria-pro-ii_stb-jb-b_white.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_stb-jb-b_white.jpeg
,20,u19867,Aria Pro II,Fretted Instruments,Bass Guitars,J-B,J-B,"• Body: Poplar • Neck: Maple, Bolt-on • Number of Frets: 22","See-Through Vintage White, Black, 3 Tone Sunburst",$369.00,$229.00,,,aria-pro-ii_j-b_svw-see-through-vintage-white.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_j-b_svw-see-through-vintage-white.jpeg
,21,u19894,Aria Pro II,Fretted Instruments,Bass Guitars,igb-std,IGB-STD,"• Body: Basswood, Carved Top • Neck: Maple 3P, Bolt-on • Fingerboard: Stained Walnut • Frets: 24F • Scale: 864 mm","Metallic Black, Metallic Red Shade",$369.00,$229.00,,,aria-pro-ii_igb-std_metallic-black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_igb-std_metallic-black.jpg
,21,u19995,Aria Pro II,Fretted Instruments,Bass Guitars,igb-std/5-MBK,IGB-STD 5 String,"• Body: Basswood, Carved Top • Neck: Maple 3P, Bolt-on • Fingerboard: Stained Walnut • Frets: 24F • Scale: 864 mm",Metallic Black,$399.00,$269.00,,,aria-pro-ii_igb-std-5-mbk_metallic-black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_igb-std-5-mbk_metallic-black.png
,21,u1991e,Aria Pro II,Fretted Instruments,Bass Guitars,RSB-618/4,RSB618/4,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Maple • Frets: 24F",Black & White,$429.00,$269.00,,,aria-pro-ii_rsb-618-4_black.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_rsb-618-4_black.jpeg
,21,u198ab,Aria Pro II,Fretted Instruments,Bass Guitars,DMB-206,DMB-206,• Body: Basswood • Neck: Maple • Fingerboard: Rosewood • Number of Frets: 20,"Black, Vintage White, 3 Tone Sunburst",$499.00,$324.00,,,aria-pro-ii_dmb-206_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_dmb-206_black.png
,21,u198c2,Aria Pro II,Fretted Instruments,Bass Guitars,313-MK2,313 MKII Detroit,"• Body: Ash • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 24","Sunburst, Natural",$509.00,$339.00,,,aria-pro-ii_313-mk2_sunburst.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mk2_sunburst.jpg
,21,u198d9,Aria Pro II,Fretted Instruments,Bass Guitars,313-MKii/5,313 MKII/5 Detroit,"• Body: Ash • Neck: Roasted Maple, Heel-less Bolt-on • Fingerboard: Rosewood • Number of Frets: 24","Sunburst, Natural",$519.00,$355.00,,,aria-pro-ii_313-mkii-5_sunburst.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-mkii-5_sunburst.jpeg
,22,u199f8,Aria Pro II,Fretted Instruments,Bass Guitars,313-BB-Detroit,313-BB Detroit,"• Body: Ash • Neck: Roasted Maple, Bolt-on • Fingerboard: Rosewood • Number of Frets: 24 • Scale Length: 864mm",Bourbon Barrel,$559.00,$365.00,,,aria-pro-ii_313-bb-detroit_bourbon-barrel.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-bb-detroit_bourbon-barrel.png
,22,u19ae0,Aria Pro II,Fretted Instruments,Bass Guitars,313-BB/5-Detroit,313-BB Detroit 5 String,"• Body: Ash • Neck: Roasted Maple, Bolt-on • Fingerboard: Rosewood • Number of Frets: 24 • Scale Length: 864mm",Bourbon Barrel,$579.00,$379.00,,,aria-pro-ii_313-bb-5-detroit_bourbon-barrel.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-bb-5-detroit_bourbon-barrel.png
,22,u19a82,Aria Pro II,Fretted Instruments,Bass Guitars,313-JP-Detroit (Fretless),313 JP,"• Body: Ash • Neck: Roasted Maple, Bolt-on • Fingerboard: Rosewood • Number of Frets: 24 (Fretless)",Sunburst,$509.00,$339.00,,,aria-pro-ii_313-jp-detroit-fretless_sunburst.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_313-jp-detroit-fretless_sunburst.jpeg
,22,u19a26,Aria Pro II,Fretted Instruments,Bass Guitars,SB-ONE,SB-ONE,"• Body: Indonesian Mahogany • Neck: Maple/Walnut 5 ply, Bolt-on • Fingerboard: Rosewood • Number of Frets: 24","Black, Candy Apple Red, Silver",$699.00,$449.00,,,aria-pro-ii_sb-one_black.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-one_black.jpg
,22,u19a3d,Aria Pro II,Fretted Instruments,Bass Guitars,SB-700,SB-700,• Body: Ashwood • Neck: Maple/Walnut 7ply • Fingerboard: Rosewood • Number of Frets: 24,"Oak, Walnut, Padauk Red",$1399.00,$849.00,,,aria-pro-ii_sb-700_gold-wing.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-700_gold-wing.png
,22,u19a3d,Aria Pro II,Fretted Instruments,Bass Guitars,SB-700,SB-700 Gold Wing,• Body: Ashwood • Neck: Maple/Walnut 7ply • Fingerboard: Rosewood • Number of Frets: 24,"Oak, Walnut, Padauk Red",$1399.00,$849.00,,,aria-pro-ii_sb-700_gold-wing.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/aria-pro-ii_sb-700_gold-wing.png
,23,u19b3e,Pignose,Fretted Instruments,Electric Guitars,PGG-200,PGG-200,• Body: Basswood • Neck: Maple Bolt-on • Fingerboard: Rosewood • Frets: 22,"Brown Sunburst, Black, Candy Apple Red, & Metallic Blue",$339.95,$224.95,,,pignose_pgg-200_brown-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200_brown-sunburst.png
,23,u19bb1,Pignose,Fretted Instruments,Electric Guitars,PGG-200PL,PGG-200PL,• Body: Basswood • Neck: Maple Bolt-on • Fingerboard: Rosewood • Frets: 22,"Pink Paisley, Blue Paisley, Black Paisley",$399.95,$259.95,,,pignose_pgg-200pl_pink-paisley.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200pl_pink-paisley.png
,23,u19bc8,Pignose,Fretted Instruments,Electric Guitars,PGG-259,PGG-259,• Body: Basswood • Neck: Maple Bolt-on • Fingerboard: Rosewood • Frets: 22,Black and White,$359.95,$239.95,,,pignose_pgg-259_black.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-259_black.png
,23,u19b55,Pignose,Fretted Instruments,Electric Guitars,PGG-200V,PGG-200V,"• Body: Mahogany • Neck: Mahogany, Bolt-on • Fingerboard: Rosewood • Frets: 22",Brown Sunburst,$499.00,$259.95,,,pignose_pgg-200v_brown-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgg-200v_brown-sunburst.png
,23,u19b6c,Pignose,Fretted Instruments,Bass Guitars,PGB-200,PGB-200,"• Body: Basswood • Neck: Maple, Bolt-on • Fingerboard: Rosewood • Frets: 22",Brown Sunburst,$359.95,$239.95,,,pignose_pgb-200_brown-sunburst.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/pignose_pgb-200_brown-sunburst.png
,30,u1a572,Bamboo,Fretted Instruments,Ukuleles,U23-vio-bk,Black Violin Concert,• Top: Sapele • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$69.00,$45.19,,,bamboo_u23-vio-bk-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk-q_default.png
,30,u1a62a,Bamboo,Fretted Instruments,Ukuleles,U23-vio-bk-Q,Black Violin Concert EQ,• Top: Sapele • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$109.00,$70.49,,,bamboo_u23-vio-bk-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-bk-q_default.png
,28,u1a311,Bamboo,Fretted Instruments,Ukuleles,u23-LATIN,Latin Concert,• Top: Sapele • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$99.00,$59.99,,,bamboo_u23-latin_default.jpg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-latin_default.jpg
,29,u1a409,Bamboo,Fretted Instruments,Ukuleles,U23-Passion,Passion Concert,• Top: Sapele • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$99.00,$59.99,,,bamboo_u23-passion_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-passion_default.png
,30,u1a544,Bamboo,Fretted Instruments,Ukuleles,u23-vio-sb,Sunburt Violin Concert,• Top: Linden • Back and size: Linden • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$104.00,$59.99,,,bamboo_u23-vio-sb-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb-q_default.png
,30,u1a60d,Bamboo,Fretted Instruments,Ukuleles,u23-vio-sb-Q,SB Violin Concert EQ,• Top: Linden • Back and size: Linden • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$109.00,$70.49,,,bamboo_u23-vio-sb-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-vio-sb-q_default.png
,27,u1a1d4,Bamboo,Fretted Instruments,Ukuleles,u23-Rock&Roses,Rock & Roses Concert,• Top: Spruce • Back and size: Mahogany • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$129.00,$69.99,,,bamboo_u23-rock-and-roses_default.jpeg,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-rock-and-roses_default.jpeg
,27,u1a231,Bamboo,Fretted Instruments,Ukuleles,U23-FAIRY,The Fairy Concert,• Top: Okume • Back and size: Okume • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$139.00,$84.99,,,bamboo_u23-fairy_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u23-fairy_default.png
,30,u1a5cf,Bamboo,Fretted Instruments,Ukuleles,u26-nt,Natural Classic Tenor,• Top: Spruce • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$115.00,$69.00,,,bamboo_u26-ntq_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-ntq_default.png
,29,u1a3da,Bamboo,Fretted Instruments,Ukuleles,u26-ntq,Natural Classic Tenor EQ,• Top: Spruce • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$149.00,$89.99,,,bamboo_u26-ntq_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u26-ntq_default.png
,29,u1a4b3,Bamboo,Fretted Instruments,Ukuleles,U-30-sapele-Q,Sapele Baritone,• Top: Sapele • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$159.00,$99.95,,,bamboo_u-30-sapele-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_u-30-sapele-q_default.png
,31,u1a65d,Bamboo,Fretted Instruments,Acoustic Guitars,guitarlele,Guitarele Sapele,• Top: Mahogany • Back and size: Mahogany • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$169.00,$94.99,,,bamboo_guitarlele_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_guitarlele_default.png
,31,u1a68c,Bamboo,Fretted Instruments,Acoustic Guitars,gc36-feline,Feline Travel Guitar,• Top: Linden • Back and size: Linden • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$159.00,$99.99,,,bamboo_gc36-feline_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc36-feline_default.png
,32,u1a8b4,Bamboo,Fretted Instruments,Acoustic Guitars,gc39-pro-slim-q,Slim Guitar Fishman,• Top: Linden • Back and size: Linden • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$329.00,$199.99,,,bamboo_gc39-pro-slim-q_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc39-pro-slim-q_default.png
,32,u1a8e3,Bamboo,Fretted Instruments,Acoustic Guitars,gc36-caramelle,Caramelle Acoustic,• Top: Linden • Back and size: Linden • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$159.00,$99.99,,,bamboo_gc36-caramelle_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_gc36-caramelle_default.png
,31,u1a6ba,Bamboo,Fretted Instruments,Acoustic Guitars,GA38-Rockandroses,R&R Acoustic EQ,• Top: Spruce • Back and size: Sapele • Fingerboard: Walnut • Nut & Saddle: Ox Bone • Gig Bag,,$249.00,$159.99,,,bamboo_ga38-rockandroses_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/bamboo_ga38-rockandroses_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,RR-200C,Rock Roots Concert Ukulele,Solid Mahogany,,229.99,143.99,,,twisted-wood_rr-200t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rr-200t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,RR-200T,Rock Roots Tenor Ukulele,Solid Mahogany,,259.99,162.99,,,twisted-wood_rr-200t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rr-200t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,KO-1000C,KO-1000 Concert Ukulele,Solid Acacia,,459.99,287.99,,,twisted-wood_ko-1000t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ko-1000t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,KO-1000T,KO-1000 Tenor Ukulele,Solid Acacia,,314.99,269.99,,,twisted-wood_ko-1000t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_ko-1000t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,EM-0600C,Ember Concert Ukulele,Solid Mahogany Top,,229.99,143.99,,,twisted-wood_em-0600t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_em-0600t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,EM-0600T,Ember Tenor Ukulele,Solid Mahogany Top,,259.99,162.99,,,twisted-wood_em-0600t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_em-0600t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,PI-100S,Pioneer Soprano Ukulele,Laminate Sapele,,109.99,68.99,,,twisted-wood_pi-100t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,PI-100C,Pioneer Concert Ukulele,Laminate Sapele,,119.99,74.99,,,twisted-wood_pi-100t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,PI-100T,Pioneer Tenor Ukulele,Laminate Sapele,,121.99,81.99,,,twisted-wood_pi-100t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_pi-100t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,RF-130S,Redford Soprano Ukulele,"Laminate Mahogany, Red",,119.99,74.99,,,twisted-wood_rf-130t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,RF-130C,Redford Concert Ukulele,"Laminate Mahogany, Red",,127.99,79.99,,,twisted-wood_rf-130t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,RF-130T,Redford Tenor Ukulele,"Laminate Mahogany, Red",,135.99,84.99,,,twisted-wood_rf-130t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_rf-130t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,BL-150S,Bluford Soprano Ukulele,"Laminate Mahogany, Blue",,119.99,74.99,,,twisted-wood_bl-150t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,BL-150C,Bluford Concert Ukulele,"Laminate Mahogany, Blue",,129.99,81.99,,,twisted-wood_bl-150t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,BL-150T,Bluford Tenor Ukulele,"Laminate Mahogany, Blue",,139.99,87.99,,,twisted-wood_bl-150t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_bl-150t_default.png
,,,Twisted Wood,Fretted Instruments,Ukuleles,TO-100S,Twisted Original Soprano Ukulele,Laminate Mahogany,,129.99,81.99,,,twisted-wood_to-100t_default.png,/Users/lpdmusic/Documents/New project/Photos/Fretted Instruments/twisted-wood_to-100t_default.png
